Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Booker Ervin With Dexter Gordon – Setting The Pace,"Prestige – PR 7455, Prestige – PRST 7455",US,"Vinyl, LP, Album, Stereo","Recorded in Munchen, West Germany, October 27, 1965.

Navy blue trident label.",Jazz,1967,Hard Bop,"Rated 3.82 of 11 votes (114 have, 90 want)",Mint (M),Sleeve: Mint (M),99.4%,nan,Plastylite,$500.00
Jackie McLean – New Soil,Blue Note – BLP 4013,US,"Vinyl, LP, Album, Mono","Recorded on May 2, 1959.

""RVG""-stamp and ""ear"" in deadwax.
Label adress 47 West 63. Deep Groove.
No r or inc on label, but inc on cover.",Jazz,1959,Hard Bop,"Rated 4.81 of 21 votes (139 have, 332 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.3%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$439.99
Herbie Nichols – The Prophetic Herbie Nichols Vol. 2,Blue Note – BLP 5069,USA & Canada,"Vinyl, 10"", Album, Mono","Original US first press Blue Note release with deep groove ""Lexington Ave NYC"" label, and ""RVG"" and ""Ear"" in trailoff vinyl",Jazz,1955,Hard Bop,"Rated 4.80 of 5 votes (23 have, 131 want)",Good Plus (G+),Sleeve: Very Good (VG),99.9%,nan,nan,$550.00
Clifford Brown – Memorial Album,Blue Note – BLP 1526,US,"Vinyl, LP, Compilation, Mono","Side 1 recorded on August 28, 1953; side 2 on June 9, 1953.

BLUE NOTE RECORDS, 767 Lexington Ave., New York 21",Jazz,Jul 1956,"Bop, Hard Bop","Rated 4.38 of 26 votes (167 have, 288 want)",Very Good (VG),Sleeve: Very Good (VG),97.2%,WOR Studios,nan,$500.00
The John Coltrane Quartet – Africa / Brass,Impulse! – A-6,US,"Vinyl, LP, Album, Promo, Mono","non-gatefold promo cover.

The 'tip on' cover features the graphics from the inner gatefold of the actual release - with the portrait on the back and the text on the front.

Some covers state 'Stereo' but the vinyl is the mono.",Jazz,1961,"Free Jazz, Hard Bop, Modal","Rated 5.00 of 1 votes (18 have, 197 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$599.00
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",New Jazz – NJLP 8217,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 18, 1957.

Purple NEW JAZZ label, coated cover.",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$425.00
Gigi Gryce Featuring Richard Williams – The Rat Race Blues,"Prestige – NJ 8262, New Jazz – NJ 8262",US,"Vinyl, LP, Album, Reissue, Mono",Originally recorded June 7th 1960. This is the blue trident label Prestige / New Jazz mono reissue from 1964. Rear cover states artist as 'The Gigi Gryce Quintet' featuring Richard Williams. RVG stamped in dead wax.,"Jazz, Blues",1964,"Hard Bop, Modal","Rated 5.00 of 1 votes (2 have, 14 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$425.00
Jackie McLean – Makin' The Changes,"New Jazz – 8231, New Jazz – NJLP 8231",US,"Vinyl, LP, Album, Mono","Tracks A1, A3 and B1: Recorded in Hackensack, NJ; February 15, 1957
Tracks A2, B2, and B3: Recorded in Hackensack, NJ; August 30, 1957

Catalogue # 8231 on cover, NJLP 8231 on back,
NJLP 8231 A matrix label A Side,
NJLP 8231 B matrix label B Side.

Purple label. Deep Groove.",Jazz,1960,Hard Bop,"Rated 4.60 of 15 votes (90 have, 181 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$500.00
Hank Mobley – No Room For Squares,Blue Note – BLP 4149,US,"Vinyl, LP, Album, Mono","Blue and white Blue Note Records Inc. New York USA labels.

Blue Note Records Inc., 43 West 61st St., New York, 23 address on back cover.

Recorded on March 7 (A3, B3) and October 2 (all others), 1963",Jazz,1964,Hard Bop,"Rated 4.68 of 34 votes (239 have, 633 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),96.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$499.99
Tubby Hayes And The Jazz Couriers Featuring Ronnie Scott – The Jazz Couriers,Tempo Records (5) – TAP 15,UK,"Vinyl, LP, Album, Mono","As compiled in Just Jazz 3 (Jazz Discography 1958) by Frank Dutton and Eric Townley.

Recorded: London, August 8, 1957 (A1, A2, B3, B4)
Recorded: London, August 15, 1957 (A3 to B2)

Cover variation. 'The Jazz Couriers' on front, 'Tubby Hayes and the Jazz Couriers' on back.
also released with 'Tubby Hayes and the Jazz Couriers' on front.",Jazz,1958,Hard Bop,"Rated 4.33 of 6 votes (25 have, 136 want)",Very Good (VG),Sleeve: Very Good (VG),95.2%,nan,nan,$468.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BLP 1581,US,"Vinyl, LP, Album, Mono","Recorded live on November 3, 1957.

This label has been used from december 1957 up to the end 1959.

The 1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 47 West 63rd - NYC address
- No ® under the 'E' of Blue Note
- RVG stamped and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off
- front laminated cover with no address on back and blank spine",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 495 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,Village Vanguard,Plastylite,$550.50
The Miles Davis Quintet – Steamin' With The Miles Davis Quintet,"Prestige – 7200, Prestige – PRLP 7200",US,"Vinyl, LP, Album, Mono","1st U.S. pressing: black/yellow 'fireworks' labels.
Upper rim text states:
""PRESTIGE RECORDS,Inc., 203 South Washington Ave., Bergenfield, N.J.""",Jazz,1961,Hard Bop,"Rated 4.56 of 82 votes (836 have, 648 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,nan,"Abbey Record Manufacturing Co., Inc.",$450.00
Benny Golson – Gone With Golson,"Prestige – NJLP 8235, New Jazz – NJLP 8235",US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; June 20, 1959.",Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (66 have, 165 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$500.00
Dexter Gordon – A Swingin' Affair,Blue Note – BST-84133,US,"Vinyl, LP, Album, Stereo","Recorded on August 29, 1962. VAN GELDER STEREO. As noted in the book ""Blue Note Records, A Guide For Identifying Original Pressings"" by Frederick Cohen from the New York based Jazz Record Center, the 1st pressing of this stereo version of the album has the Van Gelder and Stereo stamp in the dead wax, including the ""ear"" shaped P of the Plastylite pressing plant. The images added to this release display those details. Interesting note is that the true catalogue number of the stereo pressing is BST-84133, while the dead wax images show that Rudy van Gelder etched it as BNST-84133. All details can be verified and confirmed in the book mentioned above.",Jazz,1962,Hard Bop,"Rated 4.63 of 8 votes (108 have, 196 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$425.00
Chet Baker – Chet,Riverside Records – RLP-1135,US,"Vinyl, LP, Album, Repress, Stereo","Recorded in New York City on December 30, 1958 and January 19, 1959.
Engineer @ Reeves Sound Studios.
2nd stereo pressing, black labels, no deep groove. Pressing year estimated.",Jazz,1963,"Hard Bop, Cool Jazz","Rated 5.00 of 5 votes (20 have, 203 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,Reeves Sound Studios,nan,$419.00
The Horace Silver Quintet – Finger Poppin' With The Horace Silver Quintet,Blue Note – BLP-4008,US,"Vinyl, LP, Album, Mono","Blue Mitchell performs by courtesy of Riverside Records.

Recorded on January 31, 1959.

The 1st original mono issue has:
- blue and white Blue Note Records - 47 West 63rd - NYC address on deep grooved labels (no ""Inc"" no ®),
- RVG stamped and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- Address in back cover should be printed with Serif font as it is considered the first printing. (see picture)
- laminated cover",Jazz,1959,"Bop, Hard Bop","Rated 4.44 of 48 votes (345 have, 301 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),95.2%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$418.00
Eric Dolphy – Out To Lunch!,Blue Note – BST 84163,US,"Vinyl, LP, Album, Stereo","Eric Dolphy performs by courtesy of FM Records.

Recorded at Rudy Van Gelder Studio, Englewood Cliffs, NJ; February 25, 1964.

New York address on both sides. Van Gelder & Ear in the matrix.

Track durations are not provided on the record.",Jazz,Aug 1964,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.62 of 85 votes (419 have, 1187 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$502.64
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Mono","Recorded at 30th Street Studio, NYC.
May 5, 1959 (A1, B1-B4) / May 12, 1959 (A2-A5).
Red and black label with ""six-eye"" logos, with label variant different from Charles Mingus - Mingus Ah Um - song titles are left justified. See images.",Jazz,1959,"Hard Bop, Bop","Rated 4.38 of 16 votes (82 have, 467 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Columbia 30th Street Studio,nan,$499.99
Miles Davis All Stars – Walkin',Prestige – PRLP 7076,US,"Vinyl, LP, Album, Compilation, Mono","First label with 446 W. 50th St. N.Y.C. address on both sides label. Cover address is 447 west 50th Street, New York 19, N.Y.
Side A previously released as LP182 ""All Star Sextet""(10'- 1954)
Side B previously released as LP185 ""Miles Davis Quintet""(10'-1954)",Jazz,1957,Hard Bop,"Rated 4.50 of 30 votes (311 have, 340 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$499.99
"Stanley Turrentine – Up At ""Minton's"", Vol. 2",Blue Note – BLP 4070,US,"Vinyl, LP, Album, Mono","Recorded live on February 23, 1961.",Jazz,1961,Hard Bop,"Rated 4.55 of 11 votes (89 have, 167 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Minton's Playhouse,Plastylite,$550.00
Sonny Rollins – Tour De Force,Prestige – PRLP-7126,US,"Vinyl, LP, Album","Recorded in Hackensack, NJ; December 7, 1956.",Jazz,1958,"Bop, Hard Bop","Rated 4.53 of 15 votes (88 have, 155 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$425.00
Sonny Rollins – Sonny Rollins Volume 1,Blue Note – BLP 1542,US,"Vinyl, LP, Album, Reissue, Mono","Max Roach performs by courtesy of Bob Shad, Mercury Record Corp.

Recorded on December 16, 1956.

Division of Liberty Records, Inc (blue and white label on both sides)",Jazz,1966,"Bop, Hard Bop","Rated 4.75 of 4 votes (18 have, 73 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,"Van Gelder Studio, Hackensack, New Jersey",nan,$411.77
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono","Recorded live on November 23, 1955.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- 767 Lexington Ave., New York 21 address on back cover
- blank spine on cover
- Framed cover.",Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (206 have, 411 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.6%,Café Bohemia,Plastylite,$468.00
Donald Byrd – Byrd In Flight,Blue Note – BLP 4048,US,"Vinyl, LP, Album, Mono, No P/No DG","This edition has 47 West 63rd labels, RVG stamped, no plastylite P, no deep groove.",Jazz,1966,"Hard Bop, Latin Jazz","Rated 5.00 of 1 votes (0 have, 11 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$445.15
Thad Jones – The Magnificent Thad Jones,Blue Note – BLP 1527,US,"Vinyl, LP, Album, Mono","Recorded on July 14, 1956.",Jazz,1956,Hard Bop,"Rated 4.56 of 16 votes (92 have, 429 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$599.99
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",New Jazz – NJLP 8217,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 18, 1957.

Purple NEW JAZZ label, coated cover.",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,"Van Gelder Studio, Hackensack, New Jersey",nan,$499.00
Wayne Shorter – Introducing Wayne Shorter,"Vee Jay Records – VJLP 3006, Vee Jay Records – VEE JAY LP 3006",US,"Vinyl, LP",nan,Jazz,1959,Hard Bop,"Rated 3.85 of 13 votes (108 have, 240 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$400.00
Jackie McLean – It's Time!,"Blue Note – 4179, Blue Note – BLP 4179",US,"Vinyl, LP, Album, Mono","Recorded on August 5, 1964.
Has the ""ear"" symbol (Plastylite) stamped on both sides.
A1, B1 published by Tolltone Publ. Co,, BMI
A2, A3, B2, B3 published bt Blue Horizon Music, BMI",Jazz,Jun 1965,Hard Bop,"Rated 4.53 of 19 votes (129 have, 365 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$400.00
Bennie Green – Walkin' And Talkin',Blue Note – BLP 4010,US,"Vinyl, LP, Album, Mono","Blue Note Records, 47 West 63rd, NYC blue and white deep groove labels with ""P"" Plastylite stamp and RVG machine stamp on both sides.

Recorded on January 25, 1959.",Jazz,1959,Hard Bop,"Rated 4.69 of 13 votes (86 have, 189 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$390.00
Miles Davis Quartet* – The Musings Of Miles,Prestige – PRLP-7007,US,"Vinyl, LP, Album, Reissue, Mono","NYC address. label variant. ""Hi Fidelity"" on labels as opposed to ""Hi Fi""",Jazz,1956,"Hard Bop, Bop","Rated 4.00 of 1 votes (28 have, 85 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,nan,nan,$350.00
Lou Donaldson Quintet – Swing And Soul,Blue Note – BLP 1566,US,"Vinyl, LP, Album, Reissue, Mono","Recorded on June 9, 1957.

2nd Pressing. Labels are West 63. Deep Groove (9M) RVG Stamped l. However this is not a first. Fred Cohen’s Book on Blue Note 1st Pressings on page (43) states that the catalogue on the back slick goes up until BLP 1546. I have posted a picture of the back of this slick and it goes clear up until BLP 4017 which was released in 1949 as this must have been. The jacket is not original. The labels have (Inc) and (R) placing this release in 1959 not the original.",Jazz,1959,"Hard Bop, Soul-Jazz","Rated 5.00 of 2 votes (9 have, 60 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$382.79
John Coltrane – Coltrane,"Prestige – LP 7105, Prestige – PRLP 7105",US,"Vinyl, LP, Album, Reissue, Mono","Recorded in New York City, Rudy Van Gelder Studio, May 31, 1957.

Second pressing with yellow NJ labels. In use between 1958-1964.",Jazz,1958,Hard Bop,"Rated 4.83 of 12 votes (64 have, 241 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$330.00
Sam Rivers – Fuchsia Swing Song,"Blue Note – 4184, Blue Note – BLP 4184",US,"Vinyl, LP, Album, Mono","Recorded on December 11, 1964.

Blue Note Records Inc. - New York USA address blue & white labels with P ""ear"" stamp for Playstlite pressing plant.

Side a runout: the last 4 in the matrix number is etched over an 8 that was incorrectly etched first.",Jazz,1965,"Post Bop, Hard Bop","Rated 4.41 of 22 votes (102 have, 407 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$350.00
Hank Mobley – Soul Station,Blue Note – BLP 4031,US,"Vinyl, LP, Album, Mono","Recorded on February 7, 1960.

Wynton Kelly and Paul Chambers perform by courtesy of Vee-Jay Records.

""RVG""-stamp in deadwax.
Plastylite 'p' (often incorrectly referred to the 'ear') handwritten in the runout.

Also released as BST 84031.",Jazz,1960,Hard Bop,"Rated 4.68 of 53 votes (239 have, 1119 want)",Good Plus (G+),Sleeve: Generic,96.6%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$395.00
Gene Ammons All Stars* – Jammin' In Hi Fi With Gene Ammons,Prestige – 7110,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 12, 1957.",Jazz,Oct 1957,Hard Bop,"Rated 4.00 of 2 votes (42 have, 109 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,"Van Gelder Studio, Hackensack, New Jersey",nan,$333.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BLP 1581,US,"Vinyl, LP, Album, Mono","Recorded live on November 3, 1957.

This label has been used from december 1957 up to the end 1959.

The 1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 47 West 63rd - NYC address
- No ® under the 'E' of Blue Note
- RVG stamped and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off
- front laminated cover with no address on back and blank spine",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 495 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),100.0%,Village Vanguard,Plastylite,$400.00
Harold Land – West Coast Blues!,JAZZLAND – JLP 920s,US,"Vinyl, LP, Album, Stereo, Deep Groove","Recorded in San Francisco; May 17 and 18, 1960.",Jazz,1960,Hard Bop,"Rated 5.00 of 3 votes (16 have, 36 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.0%,nan,nan,$375.00
Wayne Shorter – Night Dreamer,Blue Note – BST 84173,US,"Vinyl, LP, Album","Original issue should have a New York, NY adress on label. No Deep Grove. Company Inner sleeve.",Jazz,1964,Hard Bop,"Rated 4.46 of 37 votes (145 have, 503 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$325.00
Lee Morgan – Search For The New Land,Blue Note – BLP 4169,US,"Vinyl, LP, Album, Repress, Mono","New York Address on Label
Machine Stamped ""Van Gelder""
No ""Ear"" / ""p""

Probably a second press after liberty took over but they were using the remainder of labels created during the pre-liberty days, hence the NY address without the ear",Jazz,1966,Hard Bop,"Rated 4.64 of 11 votes (99 have, 248 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$395.00
Art Farmer Quintet Featuring Gigi Gryce – Art Farmer Quintet Featuring Gigi Gryce,Prestige – PRLP 7017,US,"Vinyl, LP, Album, Mono, Deep Groove","Recorded in NYC, October 21, 1955.

Black/yellow fireworks label, Deep groove, with ""446 W. 50th ST., N.Y.C."" label.",Jazz,1956,"Bop, Hard Bop, Cool Jazz","Rated 4.50 of 6 votes (31 have, 161 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$375.00
The Hank Bagby Soultet – Opus One,"Protone Hi-Fi Records And Recorded Tapes – HBS-133-LP, Protone Hi-Fi Records And Recorded Tapes – 133-LP",US,"Vinyl, LP, Album, Mono",nan,Jazz,1964,"Modal, Hard Bop, Soul-Jazz","Rated 4.40 of 5 votes (16 have, 86 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$359.99
"Stanley Turrentine – Up At ""Minton's"", Vol. 2",Blue Note – BLP 4070,US,"Vinyl, LP, Album, Mono","Recorded live on February 23, 1961.",Jazz,1961,Hard Bop,"Rated 4.55 of 11 votes (89 have, 167 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Minton's Playhouse,Plastylite,$350.00
John Coltrane – A Love Supreme,Impulse! – AS-77,US,"Vinyl, LP, Album, Stereo, Gatefold","Stereo LP housed in a mono cover with stereo sticker (gold with black text) on the front cover.

""VAN GELDER"" and ""STEREO"" machine stamped in the dead wax. ""A product of ABC-Paramount Records, Inc."" printed on the labels.",Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.67 of 12 votes (53 have, 375 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$350.00
Sonny Rollins – Volume 2,Blue Note – BLP 1558,US,"Vinyl, LP, Album, Mono, NY23, First Press","Jay Jay Johnson performs by courtesy of Columbia Recordss. Thelonious Monk performs by courtesy of Riverside Records.
Recorded on April 14, 1957.

This release is for 47W 63rd New York 23 label (1st pressing):

For collectors, it's key to know that genuine 1st pressings of this release must have:

01. 47 west 63rd New York 23 address on both labels,
02. RVG initials hand etched in both trail offs
03. New York 23 address on back cover, no ""inc""
04. Beaded rim, not flat
05. Deep groove on both sides
06. Blank spine
07. 'P' a.k.a. Plastylite ""ear"" in trail off + 9M
08. Laminated cover (source: ""Blue Note Records, A Guide to Identifying Original Pressings"" - written by Frederic Cohen).

----

47W 63rd NYC label release (2nd pressing) can be found here: 2nd Pressing",Jazz,Sep 1957,Hard Bop,"Rated 4.60 of 5 votes (23 have, 103 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$325.00
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – PRLP 7094, Prestige – Prestige 7094",US,"Vinyl, LP, Album, Mono, Repress","Labels: PRLP 7094
Spine and front/rear jacket: Prestige 7094

Recorded on October 26, 1956.

Second press address for this release.
Labels read:
Prestige Records, Inc.,
203 South Washington Ave, Bergenfield NJ",Jazz,1958,Hard Bop,"Rated 4.82 of 34 votes (315 have, 259 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,nan,"Abbey Record Manufacturing Co., Inc.",$319.99
Jackie McLean – Destination... Out!,Blue Note – BLP 4165,US,"Vinyl, LP, Album, Mono","1st original Mono issue has:
- blue/white Blue Note Records Inc • New York USA labels (deep groove on side 2 only),
- Van Gelder stamped in the dead wax, both sides,
- ""P"" (otherwise wrongly called ""ear"") for Plastylite plant etched in the trail off, both sides,
- non laminated jacket,
- Blue Note Records Inc., 43 West 61st St., New York 23 address on back cover
- inner sleeve 25 Years Blue Note catalog with 43 West 61st St., New York 23 address",Jazz,Oct 1964,"Hard Bop, Post Bop","Rated 4.53 of 43 votes (176 have, 494 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$369.36
"Art Blakey Quintet – A Night At Birdland, Volume 1",Blue Note – BLP 1521,US,"Vinyl, LP, Compilation, Mono","Recorded live on February 21, 1954.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- no address on back cover
- blank spine on cover",Jazz,Jul 1956,Hard Bop,"Rated 4.60 of 20 votes (149 have, 365 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.5%,Birdland,Plastylite,$350.00
Nick Ayoub Quintet – The Montreal Scene,RCA Victor – PC-1042,Canada,"Vinyl, LP, Album, Mono","Title appears as ""The Jazz Scene: Montreal"" on labels
Dynagroove",Jazz,1964,"Hard Bop, Cool Jazz","Rated 4.25 of 4 votes (44 have, 157 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$400.00
Miles Davis – Milestones,Fontana – TFL 5035,UK,"Vinyl, LP, Album, Mono",nan,Jazz,1958,"Modal, Hard Bop","Rated 4.41 of 17 votes (156 have, 342 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$345.00
Donald Byrd – Royal Flush,"Blue Note – ST-84101, Blue Note – BST 84101",US,"Vinyl, LP, Album, Stereo",nan,Jazz,1961,"Hard Bop, Soul-Jazz, Post Bop","Rated 4.65 of 17 votes (123 have, 262 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$399.99
The Horace Silver Quintet – Horace-Scope,Blue Note – BLP 4042,US,"Vinyl, LP, Album, Mono","Recorded on July 8 & 9, 1960.

Blue Mitchell performs by courtesy of Riverside Records.

The 1st original MONO issue has:
- blue and white deep groove Blue Note Records INC - 47 West 63rd - NYC labels (with Inc and ®) both sides
- RVG stamped in the dead wax, both sides
- P, wrongly called ""ear"" for Plastylite plant, etched in the dead wax, both sides
- 43 West 61st Street, New York 23, N.Y. address on back-cover
- front laminated cover
- printed spine",Jazz,Sep 1960,Hard Bop,"Rated 4.29 of 48 votes (354 have, 269 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$349.99
Kenny Dorham And The Jazz Prophets – Vol. 1,ABC-Paramount – ABC-122,US,"Vinyl, LP, Album, Mono, Deep groove","First pressing has deep groove labels with white and silver text on black background. Bottom of labels say “A Product of Am-Par Corp”

Recorded April 4, 1956, NYC.",Jazz,1956,Hard Bop,"Rated 4.70 of 10 votes (68 have, 130 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$375.00
Sonny Rollins – Sonny Rollins Volume 1,Blue Note – BLP 1542,US,"Vinyl, LP, Album, Mono","Max Roach performs by courtesy of Bob Shad, Mercury Record Corp.

Recorded on December 16, 1956.

1st original Mono pressing with the first original cover (as in attached images) has:
- photo of Sonny Rollins in vertical position on front cover,
- blue/white deep groove Blue Note Records 767 Lexington Ave NYC labels (no ""Inc"" no ®),
- RVG etched in the dead wax, both sides,
- ""P"" (otherwise wrongly called ""ear"") for Plastylite plant etched in the trail off, both sides,
- flat rim vinyl,
- 47 West 63rd St., New York 23 address (with no ""Inc"" no ®) on back cover,
- non laminated framed cover,
- blank spine.",Jazz,Jan 1957,"Bop, Hard Bop","Rated 4.35 of 20 votes (101 have, 256 want)",Very Good (VG),Sleeve: Good Plus (G+),96.4%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$389.40
John Coltrane – A Love Supreme,Impulse! – A-77,US,"Vinyl, LP, Album, Mono, Gatefold","Recorded December 9th, 1964.

This is the variant with side indications on the labels. There is another variant
without side indications on the labels

""A Product of ABC-Paramount Records Inc."" printed at bottom of labels

The thick cardstock gatefold sleeve has a heavily laminated glossy finish but the inside
of the gatefold does not.",Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.68 of 205 votes (1398 have, 3685 want)",Very Good (VG),Sleeve: Good (G),98.9%,nan,nan,$350.00
John Coltrane And Johnny Hartman – John Coltrane And Johnny Hartman,Impulse! – A-40,US,"Vinyl, LP, Album, Mono, Gatefold","Recorded March 7, 1963.
Issued with gatefold jacket.",Jazz,1963,"Ballad, Vocal, Hard Bop","Rated 4.38 of 60 votes (497 have, 654 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),98.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$324.41
