Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
James Moody – Hi Fi Party,Prestige – PRLP 7011,US,"Vinyl, LP, Album, Mono, Deep Groove","1st Issue on yellow & black fireworks label with ""446 W. 50th ST., N. Y. C."" address and ""Long playing microgroove"" on both sides.
""RVG"" etched into deadwax.
Writing credits for A1 are wrong on the release: it is clearly a Gordon/Warren composition, but on labels credited to ""Bergner-Nelson"".",Jazz,1955,Bop,"Rated 4.00 of 1 votes (33 have, 53 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,"Van Gelder Studio, Hackensack, New Jersey",nan,$170.00
Los Calvos – Estos Son Los Calvos,"RCA Victor – FPM-197, RCA Victor – FPM 197",US,"Vinyl, LP, Album, Mono",Recorded in Venezuela but printed in U.S.A.,"Jazz, Latin",1967,"Salsa, Boogaloo","Rated 4.75 of 4 votes (8 have, 42 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,nan,nan,$170.00
Sérgio Mendes & Bossa Rio – Você Ainda Não Ouviu Nada!,Philips – P 632.701 L,Brazil,"Vinyl, LP, Reissue, Mono","Mono press from 1968, with the same catalog number and label code as the Stereo issue.","Jazz, Latin",1968,Bossa Nova,"Rated 4.00 of 1 votes (23 have, 21 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.1%,nan,nan,$171.31
Freddie Hubbard – The Body & The Soul,Impulse! – A-38,US,"Vinyl, LP, Album, Mono","Original US First Press 1963 Mono LP On Impulse Label - Laminated Gatefold Sleeve - RVG In Deadwax

Orange & Black labels with ""A product of ABC Paramount"" text on labels.

Track A3, B3, B4 Recorded March 8, 1963
Track A2, B2, B5 Recorded March 11, 1963
Track A1, A4, B1 Recorded May 2, 1963

Publishers:
- A1: Harms, Inc. - ASCAP
- A2: Ross Jungnickel, Inc. - ASCAP
- A3, B4: Robbins Music Corp. - ASCAP
- A4: DeSylva, Brown & Henderson - ASCAP
- B1, B2, B5: Hub-Tones Music - BMI
- B3: George Simon, Inc. - ASCAP",Jazz,1963,Post Bop,"Rated 4.40 of 5 votes (43 have, 88 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$175.00
Ronnie Ross & Allan Ganley – The Jazz Makers,Atlantic – SD-1333,US,"Vinyl, LP, Album, Stereo","Blue and green label with white ""fan"" logo.",Jazz,1960,Cool Jazz,"Rated 4.50 of 4 votes (24 have, 32 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.5%,nan,nan,$175.00
Various – Isto É Musicanossa!,Rozenblit – LP 50.005,Brazil,"Vinyl, LP, Compilation",nan,"Jazz, Latin",1968,Bossa Nova,"Rated 4.33 of 3 votes (20 have, 54 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$170.00
John Jenkins (2) – Jazz Eyes,"Regent – MG 6056, Regent – RMG 6056",US,"Vinyl, LP, Album","Recorded September 10, 1957.
Front cover & label credits Art Taylor, not Arthur Taylor as on the rear cover.
Green Regent label with ""RMG 6056"" as catalog number.
Runoff grooves has ""RVG"", ""RMG 6056-A"" and ""RMG 6056-B"" and X20 engraved. Also the horizontal ""A"".",Jazz,1957,"Hard Bop, Bop","Rated 3.75 of 4 votes (39 have, 107 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),92.6%,"Van Gelder Studio, Hackensack, New Jersey",nan,$173.55
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","First cat.nr. on labels, second on cover.

'Fireworks' labels with Bergenfield, N.J. address.","Jazz, Blues",1959,Hard Bop,"Rated 4.67 of 12 votes (153 have, 138 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,nan,"Abbey Record Manufacturing Co., Inc.",$171.84
Sonny Red With Grant Green And Barry Harris (2) – The Mode,Jazzland – JLP 59,US,"Vinyl, LP, Album, Mono","Recorded at Plaza Sound Studios, New York City on May 29 (A2, A4, B2, B3) and December 14 (A1, A3, B1), 1961.

Orange labels.",Jazz,1962,Hard Bop,"Rated 3.60 of 10 votes (46 have, 168 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Plaza Sound Studios,nan,$175.00
John Coltrane – Ascension (Edition II),Impulse! – A-95,US,"Vinyl, LP, Album, Mono","Recorded 28 June, 1965 at Van Gelder Studios, Englewood Cliffs, N.J.
By accident Bob Thiele put out the wrong take. After he went through the initial press run, he switched the masters to the other take and inscribed edition II on the inside of the runout circle. So there are really two versions of Ascension.
This is the 1st mono pressing with the Edition II take of the piece and has ""A Product Of ABC Paramount Records Inc./Printed In U.S.A."" below titles on labels.",Jazz,1966,"Free Jazz, Post Bop, Free Improvisation","Rated 4.71 of 7 votes (74 have, 256 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$174.99
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – 7094, Prestige – PRLP 7094",US,"Vinyl, LP, Album, Reissue, Mono","1964-71 Blue Trident label with trident logo on right hand side. Has Rudy Van Gelder's RVG Mastering Stampers in the Dead Wax.

Recorded on October 26, 1956.",Jazz,1964,Hard Bop,"Rated 4.25 of 8 votes (90 have, 188 want)",Near Mint (NM or M-),Sleeve: Good Plus (G+),100.0%,nan,nan,$175.00
The Mothers Of Invention* – Uncle Meat,"Bizarre Records – 2MS 2024, Bizarre Records – 2024, Reprise Records – 2MS 2024",US,"2 × Vinyl, LP, Album, CTH, 400, Autocoupled","Original Bizarre/Reprise Records release.
Issued with gatefold sleeve and 12-page color booklet (drawings, photos, paintings). Discs with Bizarre labels and liners.

First cat# on labels and spine, second on front cover and inside the gatefold.
Reprise W7Arts roundel logo on labels, re 3rd cat#.
(The 'Bizarre' label used Reprise cat system, whilst 'Straight' used its own through Reprise)

Recorded at Apostolic Studios, NYC
October 1967-February 1968
Percussion overdubs at Sunset Sound, LA
March-April, 1968 [Note: Sunset Sound Recorders in 1968]

A3 (later titled ""Nine Types Of Industrial Pollution"")
as ""400 Days Of The Year"" on label

Drummer Billy Mundi is credited as ""...on some pieces before he quit to join Rhinoceros""
Special thanks to:
Ruth Komanoff who plays marimba and vibes with Artie on many of the tracks, and
Nelcy Walker the soprano voice with Ray & Roy on Dog Breath & The Uncle Meat Variations.","Jazz, Rock",1969,"Musique Concrète, Avantgarde, Fusion, Doo Wop, Experimental, Parody","Rated 4.44 of 227 votes (2126 have, 752 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,Apostolic Studios,"Columbia Records Pressing Plant, Terre Haute",$175.00
Miles Davis – Kind Of Blue,Columbia – CL 1355,US,"Vinyl, LP, Album, Misprint, Mono","Recorded 02/03/1959 and 22/04/1959.
Labels are both side US Mono 6-Eye with Deep Groove, 'Made in U. S. A.' printed below.

This version is misprinted:
• On front cover, we read 'Adderly' instead of 'Adderley' (pic. 1).
• Same mistake on back cover (pic. 2).
• Tracks B1 & B2 are reversed on back cover. B1 is supposed to read 'All Blues' but reads 'Flamenco Sketches'. Vice versa for B2 (pic. 2).
• Same thing on label side 2 (pic. 4).",Jazz,17 Aug 1959,Modal,"Rated 4.82 of 22 votes (181 have, 857 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$170.00
Alice Coltrane – A Monastic Trio,"Impulse! – A-9156, Impulse! – AS-9156",US,"Vinyl, LP, Album, Stereo",First cat# on sleeve; 2nd cat# on center labels,Jazz,1968,Free Jazz,"Rated 4.39 of 84 votes (509 have, 1169 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),93.0%,nan,nan,$175.00
Kenny Burrell – Midnight Blue,Blue Note – BLP 4123,US,"Vinyl, LP, Album, Mono, Deep groove","This edition has New York USA labels, deep groove on both sides, Van Gelder, Ear.

* Originally recorded on January 8, 1963 at Van Gelder Studio in Englewood Cliffs NJ.",Jazz,1963,Soul-Jazz,"Rated 4.58 of 108 votes (632 have, 991 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$175.00
John Coltrane – Coltrane Jazz,"Atlantic – 1354, Atlantic – SD-1354, Atlantic – SD 1354",US,"Vinyl, LP, Album, Stereo","Stereo pressing on Blue and Green deep grooved label

Tracks A1, B3 recorded on November 24, 1959.
Tracks A3 to B2, B4 recorded on December 2, 1959.
Track A2 recorded October 21, 1960.",Jazz,1961,Post Bop,"Rated 4.46 of 67 votes (621 have, 402 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.9%,nan,nan,$170.00
Sonny Rollins Quartet – Tenor Madness,Prestige – PRLP 7047,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; May 24, 1956.
446 W. 50th St., N.Y.C. address on labels.
Deep groove both sides.
RVG etched both sides.",Jazz,Nov 1956,"Bop, Hard Bop","Rated 4.42 of 26 votes (181 have, 340 want)",Good Plus (G+),Sleeve: Good Plus (G+),99.8%,"Van Gelder Studio, Hackensack, New Jersey",nan,$174.99
Booker Ervin – The Space Book,"Prestige – PR 7386, Prestige – PRST 7386",US,"Vinyl, LP, Album, Stereo","Recorded in Englewood Cliffs, NJ; October 2, 1964.",Jazz,1965,"Hard Bop, Modal","Rated 4.60 of 10 votes (87 have, 146 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$174.89
Bobby Hutcherson – Happenings,Blue Note – BLP 4231,US,"Vinyl, LP, Album, Mono","Recorded on February 6, 1966.

1st orig. mono issue has:
- blue/white Blue Note Records Inc. - New York USA labels (Liberty pressing using stocked New York labels)
- Van Gelder stamped in the trail off, both sides
- Blue Note Records Inc., 43 West 61st St., New York 23 address on back cover
- non-laminated cover

Publishers:
- A1 to A3, B2 to B4: Blue Horizon Music - BMI
- B1: Hancock Music Co. - BMI",Jazz,Jan 1967,Post Bop,"Rated 4.59 of 22 votes (160 have, 500 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),98.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$170.00
Harry James (2) – & His Western Friends,Dot Records – DLP 25735,US,"Vinyl, LP, Stereo","Stereophonic Record - Ultra High Fidelity Recording
Recorded May 31 and June 1, 1966 in Hollywood, CA.
Listed in the New Album Releases column on p. 68 of the August 20, 1966 issue of Billboard.

Recording dates/location and credits not on the back cover are from the Trumpet Toast re-issue compilation album, MCA Records MCL 1774, and The Jazz Discography Ver 14.",Jazz,Aug 1966,Contemporary Jazz,"Rated 5.00 of 1 votes (18 have, 7 want)",Mint (M),Sleeve: Near Mint (NM or M-),98.5%,nan,nan,$175.00
The Ray Bryant Combo – Sack O' Woe / Walk No More,Columbia – 4-41940,US,"Vinyl, 7"", 45 RPM, Styrene",Sometimes listed as Ray Bryant Sextet - unissued,"Jazz, Funk / Soul",1961,Soul-Jazz,"Rated 4.50 of 2 votes (25 have, 70 want)",Very Good Plus (VG+),Sleeve: Generic,99.5%,nan,nan,$174.99
Teddy Edwards Quartet – Good Gravy!,Contemporary Records – M 3592,US,"Vinyl, LP, Mono","Recorded August 23, 24 & 25 at Contemporary Records in Los Angeles. Sound by Roy DuNann. Produced by Lester Koenig.",Jazz,1962,,"Rated 4.40 of 5 votes (16 have, 44 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,nan,nan,$175.00
Charlie Rouse / Seldon Powell – We Paid Our Dues!,Epic – LA 16018,USA & Europe,"Vinyl, LP, Mono","The Charlie Rouse Quartet :
Charlie Rouse - Tenor Saxophone
Gildo Mahones - Piano
Reggie Workman - Bass
Arthur Taylor - Drums

The Seldon Powell Quartet :
Seldon Powell - Tenor Saxophone, Flute
Lloyd Mayers - Piano
Peck Morrison - Bass
Denzil Best - Drums

The matrix code on side B has one character (""2"") scratched out with the number ""5"" written below.

Some copies may have a ""BIEM"" sticker applied to the jacket.",Jazz,1961,Hard Bop,"Rated 4.00 of 4 votes (27 have, 66 want)",Very Good (VG),Sleeve: Very Good (VG),99.2%,nan,nan,$175.00
"Charlie Rouse, Seldon Powell – We Paid Our Dues!",Epic – BA 17018,US,"Vinyl, LP, Stereo","The Charlie Rouse Quartet :
Charlie Rouse - Tenor Saxophone
Gildo Mahones - Piano
Reggie Workman - Bass
Arthur Taylor - Drums

The Seldon Powell Quartet :
Seldon Powell - Tenor Saxophone, Flute
Lloyd Mayers - Piano
Peck Morrison - Bass
Denzil Best - Drums",Jazz,1961,Hard Bop,"Rated 3.00 of 1 votes (8 have, 38 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,nan,nan,$175.00
Various – Modern Jazz Gallery,Top Rank International – RANK-5080/1,Japan,"2 × Vinyl, LP, Limited Edition, Numbered, Mono, Gatefold 4 pages","Comes with 8-pages, lp-sized insert inside gatefold.",Jazz,1961,"Post Bop, Cool Jazz","Rated 5.00 of 1 votes (1 have, 1 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$175.00
Ο Γεράσιμος Λαβράνος Και Η Ορχήστρα Του – Χορέψτε Με Το Γεράσιμο Λαβράνο Και Την Ορχήστρα Του,Polydor – 45 285 LPHMH,Greece,"Vinyl, LP, Album, Mono","Made in Greece.

Flipback cover without spine.
All wording originally in Greek polytonic.
All titles are listed in both Greek & English language.
Some credits are listed in genitive.

Re-released as a promo CD in 2007 by ""Tζαζ & Jazz"" magazine.","Jazz, Pop, Folk, World, & Country",1965,"Lounge, Easy Listening, Folk, Bossa Nova","Rated 5.00 of 5 votes (14 have, 68 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,nan,nan,$174.99
Bill Evans Trio* – Everybody Digs Bill Evans,Riverside Records – RLP 12-291,US,"Vinyl, LP, Album, Mono","Recorded at Reeves Sound Studio in New York December 1958.

Small blue label, deep groove, 'Everybody Digs Bill Evans' in italic letter.",Jazz,1959,Post Bop,"Rated 4.60 of 50 votes (324 have, 676 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,Reeves Sound Studios,nan,$175.00
Lee Morgan – The Rumproller,"Blue Note – BST 84199, Blue Note – ST-84199, Blue Note – 84199",US,"Vinyl, LP, Album, Stereo","Recorded on April 21, 1965.

1st original STEREO issue has:
- blue/white Blue Note Records labels with NEW YORK USA,
- VAN GELDER stamped and ""P"" (wrongly called ""ear"") for Plastylite plant etched in the dead wax, both sides,
- non-laminated cover with 43 West 61st St., New York 23 address on back.

Cat# BST 84199 on labels.
Cat# ST-84199 on back of sleeve.
Cat# 84199 on front of sleeve and on spine.

A1 published by Blue Horizon Music - BMI
A2, B1 published by Nom Music - BMI
B2 published by Miyako Music - BMI
B3 published by Rudy Stevenson Music - BMI",Jazz,Dec 1965,Hard Bop,"Rated 4.72 of 36 votes (326 have, 270 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$170.00
Bill Evans - Jim Hall – Undercurrent,United Artists Jazz – UAJ 14003,US,"Vinyl, LP, Album, Mono, Gatefold","""Bendy tenor"" label, gatefold. Spine lists both stereo and mono versions, inner left panel differentiates mono as does label and matrix.

[ear] in the runout looks like an ""Ear"" or uppercase cursive ""P""",Jazz,1962,,"Rated 4.71 of 38 votes (301 have, 546 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$175.00
Walter Santos – Caminho,RCA Victor – BBL 1346,Brazil,"Vinyl, LP",nan,"Jazz, Latin",1965,Bossa Nova,"Rated 4.33 of 3 votes (23 have, 116 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$170.00
"Charlie Parker, Dizzy Gillespie – A night at Carnegie Hall with Charlie Parker and Dizzy Gillespie",Birdland – LP425,US,"Vinyl, LP, 10"", Album, Mono","Dizzy Gillespie (trumpet) Charlie Parker (alto sax) John Lewis (piano) Al McKibbon (bass) Joe Harris (drums)
""Carnegie Hall"", NYC, September 29, 1947",Jazz,1956,Bop,"Rated 5.00 of 2 votes (20 have, 34 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$173.25
Sam Rivers – A New Conception,Blue Note – BLP 4249,US,"Vinyl, LP, Album, Mono","Recorded on October 11, 1966.

1st original MONO pressing has:
- Blue and White labels with A Division Of Liberty Records, Inc.
- Van Gelder stamped in dead wax
- ""Blue Note A Product Of Liberty Records"" logo on front
- ""Blue Note Records Inc., 43 West 61st St., New York, N.Y. 10023"" address on bottom back
- Non-laminated cover",Jazz,1966,"Free Jazz, Post Bop","Rated 4.13 of 16 votes (75 have, 239 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$175.00
Piano Red – Piano Red In Concert,Groove (3) – LG-1002,US,"Vinyl, LP, Album, Mono","Side A recorded at a concert in Atlanta, Georgia, February 1956.
Side B consists of previously released singles plus three previously unreleased tracks (B2, B3, B6).

Light green label with black print, deep groove, ""Long Play"" at bottom.","Jazz, Blues",1956,,"Rated 5.00 of 2 votes (27 have, 27 want)",Very Good (VG),Sleeve: Very Good (VG),99.6%,nan,nan,$170.00
Kong Ling – Hong Kong Presents Off-Beat Cha Cha,"Diamond (7) – SLP 1000, Diamond (7) – LPS 1000",Hong Kong,"Vinyl, LP, Album, Stereo",nan,"Jazz, Pop, Folk, World, & Country",1960,Vocal,"Rated 5.00 of 3 votes (19 have, 35 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$175.00
"Freddie Hubbard – The Night Of The Cookers - Live At Club La Marchal, Volume 2",Blue Note – BLP 4208,US,"Vinyl, LP, Album, Mono","Recorded live on April 9, 1965.

1st original MONO issue has:
- blue/white Blue Note Records labels with NEW YORK USA,
- VAN GELDER stamped and ""P"" (wrongly called ""ear"") for Plastylite plant etched in the dead wax, both sides,
- non-laminated cover with 43 West 61st St., New York 23 address on back

Side 1 runout matrix has an ""X"" etched over the incorrect ""8"" and then followed by a correct ""7"".
Side 2 runout matrix has an ""X"" etched over the incorrect ""8"" and then followed by a correct ""7"" and then the correct ""B"" etched over the incorrect ""A"".",Jazz,1966,"Hard Bop, Post Bop","Rated 4.25 of 12 votes (68 have, 129 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,Club La Marchal,Plastylite,$175.00
"Freddie Redd Quartet With Jackie McLean – The Music From ""The Connection""","Blue Note – BLP 4027, Blue Note – 4027",US,"Vinyl, LP, Album, Mono, Deep groove labels","This version has Deep Groove labels that say Blue Note Records Inc 47 West 63rd NYC
RVG and Plastylite ""Ear"" stamped in deadwax

Laminated front cover",Jazz,1960,Hard Bop,"Rated 4.31 of 16 votes (194 have, 183 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$174.99
Kenny Rankin – In The Name Of Love / Haven't We Met,Columbia – 4-43885,US,"Vinyl, 7"", Promo, Mono",nan,Jazz,1966,,"Rated 4.75 of 12 votes (26 have, 282 want)",Very Good (VG),Sleeve: Not Graded,99.9%,nan,nan,$175.00
Dexter Gordon – Gettin' Around,Blue Note – BLP 4204,US,"Vinyl, LP, Album, Mono","Recorded on May 28 & 29, 1965.

The 1st original Mono issue has:
- blue and white labels Blue Note Records Inc. - New York USA on both sides,
- Van Gelder stamped in the dead wax, both sides,
- Blue Note Records Inc., 43 West 61st St., New York 23 address on back-cover,
- non laminated cover",Jazz,1966,Bop,"Rated 4.61 of 31 votes (177 have, 355 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$174.99
The Red Garland Trio Plus Ray Barretto – Manteca,Prestige – PRLP 7139,US,"Vinyl, LP, Album, Mono, Bergenfield, NJ","Original Mono pressing with yellow/black labels and 203 South Washington Ave., Bergenfield, N.J. address.

Recorded in Hackensack, NJ; April 1958.

The Red Garland Trio plus Ray Baretto on Conga.

Pressed onto very heavy vinyl and has visible rings on labels but not deep groove rings.",Jazz,1958,Hard Bop,"Rated 4.75 of 8 votes (66 have, 63 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$175.00
Usha Iyer with The Flintstones (9) – Summertime / Blues Train,His Master's Voice – NE. 1006,India,"Vinyl, 7"", 45 RPM, Single",Usha Iyer with - The Flintstones,"Jazz, Rock, Funk / Soul, Folk, World, & Country",1969,"Psychedelic Rock, Funk, Rhythm & Blues","Rated 4.75 of 4 votes (12 have, 128 want)",Very Good Plus (VG+),Sleeve: Generic,91.4%,nan,nan,$170.00
Charles Mingus – Mingus Ah Um,Columbia – CS 8171,US,"Vinyl, LP, Album, Stereo","First pressing from 1959.

Features Deep Groove label, a single vertical bar etched in the deadwax on side 1 and two bars on side 2.

Rear cover features a bold 1 in the bottom right corner of the jacket.

Deep groove ridge can be seen and felt running the perimeter of the red inner label and the black outer ring.

Recorded at 30th Street Studio, NYC.
May 5, 1959 (A1, B1-B4) / May 12, 1959 (A2-A5).",Jazz,14 Sep 1959,"Hard Bop, Bop","Rated 4.78 of 122 votes (747 have, 1167 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Columbia 30th Street Studio,nan,$175.00
Cannonball Adderley – Somethin' Else,"Blue Note – BST 81595, Blue Note – BLP 1595, Blue Note – BST 1595, Blue Note – 81595",US,"Vinyl, LP, Album, Reissue, Stereo, Liberty Pressing","Catalog number on the labels: BST 1595
Catalog number on the back cover: 81595
Catalog numbers on the front cover: BST 81595 and BLP 1595

Originally released in 1958.

This version is the Liberty Pressing, which was likely released between 1966 and 1970 and can be identified by the ""Blue Note Records • A Division of Liberty Records, Inc."" printed on the labels",Jazz,1966,Hard Bop,"Rated 4.67 of 51 votes (308 have, 416 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$175.00
Miles Davis – Milestones,Columbia – CL 1193,US,"Vinyl, LP, Album, Repress, Mono",Different from all other releases because of the cover. The top of the cover differs from all others as the top border is all black with the title and artist in white lettering and the songs in purple lettering. The Columbia eye is in the upper left hand corner in purple. This came in a plastic sleeve.,Jazz,1967,,"Rated 5.00 of 1 votes (5 have, 95 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.6%,nan,nan,$175.00
"Teddy Charles, Shorty Rogers, Jimmy Giuffre, Charlie Mingus*, Shelly Manne – Evolution","Prestige – LP 7078, Prestige – 7078",US,"Vinyl, LP, Compilation, Remastered, Mono, Deep Groove","A1 to B1: Recorded in Hackensack, NJ; January 6, 1955.
B2, B3: Recorded in California; August 31, 1953.

Original Prestige Hi-Fi long playing microgroove.

Has a deep groove pressing ring.

447 WEST 50th, N.Y. on back sleeve.
446 WEST 50th, N.Y. on labels

First cat. # on sleeve.
Second # on labels.",Jazz,1957,"Bop, Cool Jazz","Rated 4.17 of 6 votes (53 have, 65 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),93.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$175.00
Miles Davis All Stars – Miles Davis All Stars (Vol. 2),Prestige – LP 200,US,"Vinyl, LP, 10"", Mono","Address on back cover: Prestige Records, Inc., 446 W. 50th St. New York 19, N.Y.
Address on labels: Prestige Records, Inc. • 446 W. 50th St., N.Y.C.

Title on front cover: Miles Davis All Stars Vol. 2
Title on back cover: Miles Davis All Stars
Title on labels: Miles Davis All Stars Volume 2

Reportedly recorded on December 24, 1954 at the Rudy Van Gelder Studio in Hackensack, New Jersey.",Jazz,1955,Bop,"Rated 4.14 of 7 votes (58 have, 84 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$175.00
Cannonball* & Coltrane* – Cannonball & Coltrane,Limelight – LM 82009,US,"Vinyl, LP, Mono, Album, Reissue","Also issued in stereo (#LS 86009).
Housed in a book cover.",Jazz,1964,Bop,"Rated 4.23 of 13 votes (199 have, 90 want)",Mint (M),Sleeve: Mint (M),98.7%,nan,nan,$175.00
Larry Young – Unity,Blue Note – BLP 4221,US,"Vinyl, LP, Album, Repress, Mono","Elvin Jones performs by courtesy of Atlantic Recording Corp.

Recorded on November 10, 1965.

New York, USA address on label. Van Gelder stamp in run-out but no Plastylite P (ear). Liberty pressing probably 1967.",Jazz,1967,"Avant-garde Jazz, Hard Bop, Post Bop","Rated 5.00 of 2 votes (25 have, 115 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$174.89
Fats Navarro – The Fabulous Fats Navarro Volume 1,Blue Note – BLP 1531,US,"Vinyl, LP, Album, Remastered, Mono","For complete catalog write to BLUE NOTE RECORDS , 767 Lexington Ave., New York 21 write on back cover
BLUE NOTE RECORDS 47 West 63rd NYC write on label
EAR on the 2 faces of Label
pas DE R",Jazz,1958,Bop,"Rated 5.00 of 1 votes (29 have, 28 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,nan,nan,$175.00
Pete Brown & Piblokto! – Thousands On A Raft,"Harvest – SHVL 782, EMI – 1E 062-04566",UK,"Vinyl, LP, Album","Released in a fold-out cover. First pressing without ""EMI"" on the centre label.

Month of release from Record Collector Magazine November 1995 p.224","Jazz, Rock, Blues",Nov 1970,"Experimental, Prog Rock","Rated 4.33 of 55 votes (277 have, 427 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),99.9%,Spot Productions Studios,The Gramophone Co. Ltd.,$175.00
Marjorie Meinert – Front Row Center,"RCA Victor – LSP-2170, RCA Victor – LSP 2170",Canada,"Vinyl, LP, Stereo","Cat# on covers & spine: LSP-2170
Cat# on labels & spine: LSP 2170

On back cover:
Recorded in RCA Victor's Studio A, New York City.
© by Radio Corporation of America, 1960
Printed in Canada

On labels:
Made in Canada by RCA Victor Company, Ltd., Montreal

From labels:
A1 to A3: from the musical ""The King and I""
A4 to A6: from the Arthur Freed production ""Gigi"" released through M-G-M Studios
A7 to A9: from ""Oklahoma!""
B1 to B3: from ""South Pacific""
B4 to B6: from the Broadway prod. ""My Fair Lady""
B7 to B9 from ""Show Boat""","Jazz, Pop, Stage & Screen",1960,"Easy Listening, Light Music","Rated 4.00 of 2 votes (22 have, 2 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,RCA Studio A,nan,$173.96
Sonny Rollins – Way Out West,"Contemporary Records – C 3530, Contemporary Records – C3530",US,"Vinyl, LP, Album, Mono","Recorded at Contemporary's studio in Los Angeles March 7, 1957. Liner notes dated June 6, 1957.

First cat.nr. on cover, second on label.",Jazz,1957,Hard Bop,"Rated 4.59 of 46 votes (337 have, 577 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Contemporary's Studio,"RCA Records Pressing Plant, Hollywood",$174.99
John Coltrane Quartet* – Ballads,Impulse! – A-32,US,"Vinyl, LP, Album, Reissue, Mono, Gatefold","""-A"" / ""-B"" side indicators added after catalogue numbers on US Impulse labels from 1965.

Contains 'A'/'B' after catalog # on labels; Has ""LW"" writing in runout wax besides 'A-32 A' / 'A-32 B'; Van Gelder stamps instead of Bell Sound",Jazz,1965,"Modal, Cool Jazz","Rated 5.00 of 2 votes (12 have, 53 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$175.00
Gale Belle Quartet – Plays Euphoria in Jazz,Not On Label – R4RM-3692,US,"Vinyl, LP, Album",nan,Jazz,1964,Latin Jazz,"No Rating Yet (7 have, 72 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,nan,nan,$175.00
